txn_id,txn_date,customer_id,product_id,quantity
T000028,2025-12-16,CUST004,P00290,2
T000029,2025-12-16,CUST004,P00667,2
T000156,2025-12-16,CUST017,P00139,4
T000223,2025-12-16,CUST023,P00125,4
T000224,2025-12-16,CUST023,P00454,2
T000225,2025-12-16,CUST023,P00285,3
T000226,2025-12-16,CUST023,P00380,1
T000247,2025-12-16,CUST024,P00031,3
T000248,2025-12-16,CUST024,P00736,1
T000249,2025-12-16,CUST024,P00046,1
T000250,2025-12-16,CUST024,P00871,4
T000295,2025-12-16,CUST027,P00221,2
T000296,2025-12-16,CUST027,P00378,2
T000297,2025-12-16,CUST027,P00177,4
T000298,2025-12-16,CUST027,P00979,2
T000299,2025-12-16,CUST027,P00788,1
