txn_id,txn_date,customer_id,product_id,quantity
T000075,2025-12-24,CUST007,P00116,2
T000076,2025-12-24,CUST007,P00176,1
T000077,2025-12-24,CUST007,P00984,3
T000170,2025-12-24,CUST019,P00695,1
T000171,2025-12-24,CUST019,P00890,4
T000203,2025-12-24,CUST022,P00586,4
T000204,2025-12-24,CUST022,P00593,1
T000205,2025-12-24,CUST022,P00470,4
T000206,2025-12-24,CUST022,P00003,4
T000207,2025-12-24,CUST022,P00358,2
T000273,2025-12-24,CUST025,P00769,1
T000329,2025-12-24,CUST029,P00226,2
T000330,2025-12-24,CUST029,P00852,1
