txn_id,txn_date,customer_id,product_id,quantity
T000085,2025-12-01,CUST007,P00512,4
T000086,2025-12-01,CUST007,P00629,3
T000087,2025-12-01,CUST007,P00207,2
T000120,2025-12-01,CUST012,P00790,2
T000121,2025-12-01,CUST012,P00231,4
T000122,2025-12-01,CUST012,P00868,1
T000123,2025-12-01,CUST012,P00944,4
T000124,2025-12-01,CUST012,P00421,2
T000172,2025-12-01,CUST019,P00573,2
T000173,2025-12-01,CUST019,P00369,1
T000174,2025-12-01,CUST019,P00269,1
T000175,2025-12-01,CUST019,P00437,4
T000244,2025-12-01,CUST023,P00649,3
