txn_id,txn_date,customer_id,product_id,quantity
T000017,2025-12-28,CUST003,P00104,3
T000018,2025-12-28,CUST003,P00295,4
T000019,2025-12-28,CUST003,P00483,3
T000020,2025-12-28,CUST003,P00380,1
T000021,2025-12-28,CUST003,P00363,3
T000022,2025-12-28,CUST003,P00329,1
T000023,2025-12-28,CUST003,P00422,2
T000088,2025-12-28,CUST008,P00160,2
T000107,2025-12-28,CUST011,P00939,1
T000108,2025-12-28,CUST011,P00965,1
T000109,2025-12-28,CUST011,P00285,2
T000110,2025-12-28,CUST011,P00611,2
T000139,2025-12-28,CUST016,P00458,2
T000283,2025-12-28,CUST026,P00053,3
T000284,2025-12-28,CUST026,P00006,3
T000285,2025-12-28,CUST026,P00585,2
T000286,2025-12-28,CUST026,P00222,1
