txn_id,txn_date,customer_id,product_id,quantity
T000057,2025-12-22,CUST005,P00528,4
T000058,2025-12-22,CUST005,P00703,3
T000059,2025-12-22,CUST005,P00387,1
T000060,2025-12-22,CUST005,P00319,3
T000091,2025-12-22,CUST009,P00381,3
T000092,2025-12-22,CUST009,P00833,1
T000093,2025-12-22,CUST009,P00404,4
T000113,2025-12-22,CUST012,P00423,2
T000114,2025-12-22,CUST012,P00621,4
T000115,2025-12-22,CUST012,P00021,1
T000116,2025-12-22,CUST012,P00396,1
T000117,2025-12-22,CUST012,P00984,4
T000176,2025-12-22,CUST019,P00618,4
T000177,2025-12-22,CUST019,P00731,1
T000178,2025-12-22,CUST019,P00734,2
T000179,2025-12-22,CUST019,P00843,3
T000236,2025-12-22,CUST023,P00778,1
T000237,2025-12-22,CUST023,P00280,4
T000238,2025-12-22,CUST023,P00052,3
T000239,2025-12-22,CUST023,P00607,1
T000339,2025-12-22,CUST030,P00968,2
T000340,2025-12-22,CUST030,P00525,4
T000341,2025-12-22,CUST030,P00040,1
T000342,2025-12-22,CUST030,P00758,3
