txn_id,txn_date,customer_id,product_id,quantity
T000073,2025-12-23,CUST006,P00766,3
T000074,2025-12-23,CUST006,P00302,4
T000078,2025-12-23,CUST007,P00654,3
T000079,2025-12-23,CUST007,P00947,1
T000080,2025-12-23,CUST007,P00682,1
T000315,2025-12-23,CUST028,P00428,4
T000316,2025-12-23,CUST028,P00364,2
T000317,2025-12-23,CUST028,P00607,4
T000318,2025-12-23,CUST028,P00529,3
T000319,2025-12-23,CUST028,P00506,3
T000324,2025-12-23,CUST029,P00613,1
T000325,2025-12-23,CUST029,P00180,1
T000326,2025-12-23,CUST029,P00743,4
T000327,2025-12-23,CUST029,P00395,2
T000328,2025-12-23,CUST029,P00431,2
