txn_id,txn_date,customer_id,product_id,quantity
T000043,2025-12-05,CUST005,P00973,2
T000044,2025-12-05,CUST005,P00596,2
T000045,2025-12-05,CUST005,P00543,4
T000046,2025-12-05,CUST005,P00236,2
T000047,2025-12-05,CUST005,P00588,1
T000048,2025-12-05,CUST005,P00255,1
T000049,2025-12-05,CUST005,P00640,1
T000050,2025-12-05,CUST005,P00711,1
T000051,2025-12-05,CUST005,P00493,3
T000052,2025-12-05,CUST005,P00090,1
T000053,2025-12-05,CUST005,P00171,3
T000054,2025-12-05,CUST005,P00706,3
T000055,2025-12-05,CUST005,P00851,2
T000056,2025-12-05,CUST005,P00409,2
T000135,2025-12-05,CUST015,P00116,4
T000136,2025-12-05,CUST015,P00363,1
T000143,2025-12-05,CUST016,P00638,3
T000144,2025-12-05,CUST016,P00219,3
T000145,2025-12-05,CUST016,P00200,3
T000146,2025-12-05,CUST016,P00968,4
T000161,2025-12-05,CUST017,P00557,2
T000348,2025-12-05,CUST030,P00902,2
T000349,2025-12-05,CUST030,P00171,2
