txn_id,txn_date,customer_id,product_id,quantity
T000035,2025-12-31,CUST004,P00770,2
T000036,2025-12-31,CUST004,P00933,4
T000037,2025-12-31,CUST004,P00895,4
T000038,2025-12-31,CUST004,P00381,3
T000089,2025-12-31,CUST008,P00838,2
T000090,2025-12-31,CUST008,P00081,4
T000232,2025-12-31,CUST023,P00772,4
T000233,2025-12-31,CUST023,P00866,2
T000234,2025-12-31,CUST023,P00287,2
T000235,2025-12-31,CUST023,P00842,3
T000305,2025-12-31,CUST027,P00237,1
T000306,2025-12-31,CUST027,P00990,4
T000307,2025-12-31,CUST027,P00668,3
T000308,2025-12-31,CUST027,P00796,3
T000309,2025-12-31,CUST027,P00138,4
T000335,2025-12-31,CUST030,P00036,4
T000336,2025-12-31,CUST030,P00170,3
T000337,2025-12-31,CUST030,P00829,2
