txn_id,txn_date,customer_id,product_id,quantity
TXN-BC479CD6,2025-12-21,CUST005,P00755,2
TXN-BC479CD6,2025-12-21,CUST005,P00652,2
TXN-BC479CD6,2025-12-21,CUST005,P00105,3
TXN-F96EB6AB,2025-12-21,CUST008,P00561,1
TXN-F96EB6AB,2025-12-21,CUST008,P00568,3
TXN-F96EB6AB,2025-12-21,CUST008,P00318,1
TXN-F96EB6AB,2025-12-21,CUST008,P00152,2
TXN-F96EB6AB,2025-12-21,CUST008,P00787,2
TXN-EEC09EF1,2025-12-21,CUST026,P00370,2
TXN-EEC09EF1,2025-12-21,CUST026,P00481,2
TXN-EEC09EF1,2025-12-21,CUST026,P00177,1
TXN-EEC09EF1,2025-12-21,CUST026,P00113,2
TXN-EEC09EF1,2025-12-21,CUST026,P00755,3
