txn_id,txn_date,customer_id,product_id,quantity
T000069,2025-12-25,CUST005,P00176,4
T000111,2025-12-25,CUST011,P00531,1
T000112,2025-12-25,CUST011,P00102,3
T000137,2025-12-25,CUST015,P00471,2
T000138,2025-12-25,CUST015,P00252,1
T000165,2025-12-25,CUST018,P00772,4
T000166,2025-12-25,CUST018,P00762,2
T000167,2025-12-25,CUST018,P00810,4
T000168,2025-12-25,CUST018,P00986,1
T000169,2025-12-25,CUST018,P00457,1
T000185,2025-12-25,CUST019,P00036,1
T000186,2025-12-25,CUST019,P00799,3
T000198,2025-12-25,CUST021,P00539,4
T000199,2025-12-25,CUST021,P00366,3
T000200,2025-12-25,CUST021,P00463,1
T000201,2025-12-25,CUST021,P00955,2
T000202,2025-12-25,CUST021,P00217,3
T000274,2025-12-25,CUST025,P00376,1
T000275,2025-12-25,CUST025,P00697,3
T000276,2025-12-25,CUST025,P00877,2
T000287,2025-12-25,CUST026,P00035,1
T000288,2025-12-25,CUST026,P00714,4
T000289,2025-12-25,CUST026,P00556,3
T000290,2025-12-25,CUST026,P00916,3
T000291,2025-12-25,CUST026,P00670,4
T000331,2025-12-25,CUST029,P00701,2
T000332,2025-12-25,CUST029,P00519,4
T000333,2025-12-25,CUST029,P00074,2
