txn_id,txn_date,customer_id,product_id,quantity
T000064,2025-12-17,CUST005,P00819,4
T000065,2025-12-17,CUST005,P00703,1
T000066,2025-12-17,CUST005,P00164,2
T000067,2025-12-17,CUST005,P00094,1
T000068,2025-12-17,CUST005,P00688,1
T000208,2025-12-17,CUST022,P00002,1
T000209,2025-12-17,CUST022,P00106,4
T000210,2025-12-17,CUST022,P00270,2
T000227,2025-12-17,CUST023,P00387,4
T000228,2025-12-17,CUST023,P00814,4
T000229,2025-12-17,CUST023,P00301,3
T000230,2025-12-17,CUST023,P00582,4
T000231,2025-12-17,CUST023,P00097,3
T000304,2025-12-17,CUST027,P00215,1
