txn_id,txn_date,customer_id,product_id,quantity
T000012,2025-12-10,CUST001,P00312,4
T000013,2025-12-10,CUST001,P00367,4
T000157,2025-12-10,CUST017,P00811,4
T000158,2025-12-10,CUST017,P00728,1
T000159,2025-12-10,CUST017,P00155,1
T000160,2025-12-10,CUST017,P00443,1
T000162,2025-12-10,CUST018,P00284,4
T000163,2025-12-10,CUST018,P00942,4
T000164,2025-12-10,CUST018,P00443,1
T000240,2025-12-10,CUST023,P00319,1
T000241,2025-12-10,CUST023,P00750,1
T000242,2025-12-10,CUST023,P00820,2
T000243,2025-12-10,CUST023,P00979,2
